"Advaxis, Inc. - Warrants","ADXSW",4.6691,4.6700,4.6691,4.4779,5400,N/A,N/A
"Adverum Biotechnologies, Inc.","ADVM",2.65,2.65,2.70,2.62,244612,-2.86,N/A
"AdvisorShares Market Adaptive U","MAUI",N/A,24.4088,N/A,N/A,0,N/A,N/A
"Aegion Corp","AEGN",19.80,19.83,19.91,19.54,105703,1.12,N/A
"Aeglea BioTherapeutics, Inc.","AGLE",4.44,4.43,4.60,4.26,78890,-1.80,N/A
"Aehr Test Systems","AEHR",4.68,4.64,4.68,4.47,28158,-0.54,N/A
"Aemetis, Inc","AMTX",1.46,1.50,1.61,1.32,137562,-0.96,N/A
"Aerie Pharmaceuticals, Inc.","AERI",56.00,54.25,57.90,54.30,2791613,-3.31,N/A
"AeroVironment, Inc.","AVAV",31.35,31.38,31.35,31.00,79526,-0.55,N/A
"Aeterna Zentaris Inc.","AEZS",0.97,0.96,1.21,0.95,2853396,-2.28,N/A
"Aethlon Medical, Inc.","AEMD",1.8100,1.8100,1.9199,1.7400,37334,-0.8840,N/A
"Aevi Genomic Medicine, Inc.","GNMX",1.18,1.20,1.21,1.17,202822,-1.15,N/A
"Affimed N.V.","AFMD",2.30,2.35,2.35,2.25,95198,-0.98,N/A
"Agenus Inc.","AGEN",3.49,3.50,3.52,3.42,529602,-1.27,N/A
"Agile Therapeutics, Inc.","AGRX",3.40,3.46,3.49,3.34,38304,-1.01,N/A
"Agilysys, Inc.","AGYS",9.47,9.50,9.57,9.44,43607,-0.35,0.00
"Agios Pharmaceuticals, Inc.","AGIO",47.53,47.46,48.24,46.84,492347,-6.00,N/A
"AGNC Investment Corp.","AGNC",20.53,20.48,20.56,20.29,2115416,4.36,2.16
"AGNC Investment Corp. - Deposit","AGNCB",26.2400,26.2399,26.3386,26.2000,15796,4.3590,1.9400
"AGNC Investment Corp. - Cumulat","AGNCP",25.86,25.86,25.86,25.80,7133,4.36,2.00
"AgroFresh Solutions, Inc.","AGFS",6.99,7.01,7.13,6.90,128222,-1.99,N/A
"AgroFresh Solutions, Inc. - War","AGFSW",0.84,0.89,0.89,0.75,17800,N/A,N/A
"Aimmune Therapeutics, Inc.","AIMT",18.20,18.26,19.17,17.12,289501,-2.03,N/A
"Air T, Inc.","AIRT",19.05,18.54,19.05,18.95,428,-1.29,0.00
"Air Transport Services Group, I","ATSG",23.71,23.85,23.89,23.51,219464,0.37,N/A
"Airgain, Inc.","AIRG",13.80,13.78,13.91,13.68,43538,0.40,N/A
"AirMedia Group Inc - American D","AMCN",1.89,1.91,1.89,1.76,195000,2.36,N/A
"Akamai Technologies, Inc.","AKAM",48.00,48.06,48.17,47.14,1446053,1.83,N/A
"Akari Therapeutics Plc - Americ","AKTX",6.86,6.69,6.89,6.55,26350,-2.00,N/A
"Akebia Therapeutics, Inc.","AKBA",13.80,13.85,13.83,13.36,321121,-4.05,N/A
"Akers Biosciences Inc","AKER",1.46,1.45,1.50,1.45,11116,-0.54,N/A
"Akorn, Inc.","AKRX",33.20,33.24,33.26,33.17,1091188,1.47,0.00
"Akoustis Technologies, Inc.","AKTS",9.74,10.05,10.05,9.73,24348,-0.83,N/A
"Alarm.com Holdings, Inc.","ALRM",32.53,32.49,32.60,32.20,225898,0.23,N/A
"Alaska Communications Systems G","ALSK",2.18,2.18,2.20,2.11,73303,0.03,0.00
"Albany Molecular Research, Inc.","AMRI",18.36,18.40,18.98,17.94,764252,-1.76,N/A
"Albireo Pharma, Inc.","ALBO",18.75,19.14,19.91,17.71,38042,-7.20,N/A
"Alcentra Capital Corp.","ABDC",13.45,13.40,13.45,13.30,68168,0.65,1.36
"Alcobra Ltd. - Ordinary Shares","ADHD",1.15,1.12,1.15,1.11,83562,-0.89,N/A
"Alder BioPharmaceuticals, Inc.","ALDR",17.00,17.05,17.20,16.00,582873,-4.46,N/A
"Aldeyra Therapeutics, Inc.","ALDX",4.70,4.75,4.80,4.67,42183,-1.52,N/A
"Alexion Pharmaceuticals, Inc.","ALXN",98.77,98.50,99.44,96.18,6660773,2.10,N/A
"Alico, Inc.","ALCO",29.70,29.85,29.70,29.60,4020,0.64,0.24
"Align Technology, Inc.","ALGN",141.40,141.39,143.09,140.24,1176927,2.68,N/A
"Alimera Sciences, Inc.","ALIM",1.44,1.46,1.46,1.42,187745,-0.50,N/A
"ALJ Regional Holdings, Inc.","ALJJ",3.21,3.21,3.23,3.20,36983,0.31,N/A
"Alkermes plc - Ordinary Shares","ALKS",57.99,57.94,58.61,57.50,571086,-1.32,N/A
"Allegiance Bancshares, Inc.","ABTX",38.05,38.05,38.25,38.00,11203,1.71,N/A
"Allegiant Travel Company","ALGT",146.30,146.55,148.35,145.80,122392,11.40,2.80
"Alliance HealthCare Services, I","AIQ",13.20,13.18,13.25,13.20,13733,0.09,N/A
"Alliance Holdings GP, L.P.  Rep","AHGP",28.45,28.48,29.18,28.45,72506,3.51,2.20
"Alliance MMA, Inc.","AMMA",1.2315,1.2350,1.3100,1.2000,37855,-0.7530,N/A
"Alliance Resource Partners, L.P","ARLP",21.60,21.60,21.80,21.45,133957,4.13,1.75
"Allied Healthcare Products, Inc","AHPI",1.92,1.87,1.92,1.90,661,-0.48,0.00
"Allied Motion Technologies, Inc","AMOT",25.01,25.14,26.85,25.00,59669,1.04,0.10
"Alliqua BioMedical, Inc.","ALQA",0.37,0.38,0.38,0.37,105701,-0.96,N/A
"Allot Communications Ltd. - Ord","ALLT",5.01,5.01,5.05,4.97,5116,-0.26,N/A
"Allscripts Healthcare Solutions","MDRX",11.50,11.49,11.53,11.25,1394748,-0.26,0.00
"Almost Family Inc","AFAM",57.80,57.80,58.35,57.25,81262,1.58,0.00
"Alnylam Pharmaceuticals, Inc.","ALNY",69.27,69.50,70.49,65.50,1356852,-4.83,N/A
"Alpha and Omega Semiconductor L","AOSL",18.64,18.63,19.35,18.49,141351,0.48,N/A
"Alphabet Inc.","GOOG",969.70,969.54,974.98,965.03,1252010,29.59,N/A
"Alphabet Inc.","GOOGL",992.00,991.86,996.39,987.36,1636416,29.59,N/A
"AlphaMark Actively Managed Smal","SMCP",24.2205,24.5200,24.2205,24.2205,125,N/A,N/A
"Alphatec Holdings, Inc.","ATEC",2.00,2.03,2.00,1.89,46692,-21.66,N/A
"ALPS/Dorsey Wright Sector Momen","SWIN",27.0800,27.0700,27.0800,27.0187,965,N/A,N/A
"Altimmune, Inc.","ALT",4.50,4.52,4.59,4.39,45299,-1.24,0.00
"Altisource Portfolio Solutions ","ASPS",20.75,20.67,21.48,20.62,180921,0.86,0.00
"Altra Industrial Motion Corp.","AIMC",42.20,42.35,42.32,41.80,61811,1.00,0.68
"AMAG Pharmaceuticals, Inc.","AMAG",18.30,18.20,18.95,18.00,1229442,-0.92,N/A
"Amarin Corporation plc - Americ","AMRN",3.05,3.05,3.08,2.96,779633,-0.34,N/A
"A-Mark Precious Metals, Inc.","AMRK",16.10,15.95,16.55,15.70,9089,0.97,0.32
"Amaya Inc.","AYA",18.45,18.55,18.70,18.45,119220,0.75,N/A
"Amazon.com, Inc.","AMZN",995.00,993.38,998.65,989.25,3469154,5.31,N/A
"Ambac Financial Group, Inc.","AMBC",17.14,17.20,17.18,16.88,272568,-1.33,N/A
"Ambac Financial Group, Inc. - W","AMBCW",7.970,7.660,7.970,7.829,700,N/A,N/A
"Ambarella, Inc. - Ordinary Shar","AMBA",64.85,64.93,65.12,63.45,569740,1.68,N/A
"AMC Networks Inc.","AMCX",52.81,52.95,53.13,52.33,414749,4.12,N/A
"Amdocs Limited - Ordinary Share","DOX",64.21,64.24,64.43,64.02,448236,2.76,0.88
"Amedica Corporation","AMDA",0.36,0.36,0.36,0.30,1076747,-1.58,N/A
"Amedisys Inc","AMED",59.70,59.81,60.00,59.26,211982,1.35,N/A
"Amerco","UHAL",347.25,353.40,353.00,338.30,258264,20.34,0.00
"America First Multifamily Inves","ATAX",5.80,5.80,5.85,5.80,33362,0.39,0.50
"America Movil, S.A.B. de C.V. C","AMOV",16.15,15.93,16.20,15.92,5271,0.62,0.54
"American Airlines Group, Inc.","AAL",47.79,48.02,48.82,47.73,5979329,4.17,0.40
"American Capital Senior Floatin","ACSF",13.40,13.35,13.55,13.25,29446,3.05,1.16
"American Electric Technologies,","AETI",1.6000,1.6001,1.8000,1.5500,47212,-0.8440,N/A
"American National Bankshares, I","AMNB",36.13,36.00,36.15,35.60,8182,1.88,0.96
"American National Insurance Com","ANAT",115.14,116.20,118.75,115.14,21520,7.10,3.28
"American Outdoor Brands Corpora","AOBC",22.75,22.65,23.00,22.66,683904,2.38,N/A
"American Public Education, Inc.","APEI",22.75,22.75,23.10,22.55,41037,1.13,N/A
"American Railcar Industries, In","ARII",36.40,36.18,36.40,35.64,93646,3.13,1.60
"American River Bankshares","AMRB",14.20,14.15,14.20,13.76,30347,0.93,0.20
"American Software, Inc.","AMSWA",10.72,10.70,10.79,10.52,28891,0.26,0.44
"American Superconductor Corpora","AMSC",4.28,4.29,4.28,4.04,62849,-1.98,N/A
"American Woodmark Corporation","AMWD",87.60,87.60,89.57,86.55,124907,4.09,0.00
"America\'s Car-Mart, Inc.","CRMT",37.30,37.60,37.40,36.05,64413,2.49,N/A
"Ameris Bancorp","ABCB",45.20,45.10,45.20,44.62,84387,2.29,0.40
"AMERISAFE, Inc.","AMSF",52.20,52.15,52.25,51.70,44823,3.48,0.80
"AmeriServ Financial Inc.","ASRV",4.05,4.07,4.11,4.05,40312,0.26,0.06
"AmeriServ Financial Inc. - Amer","ASRVP",N/A,27.9073,N/A,N/A,0,N/A,N/A
"Ames National Corporation","ATLO",30.15,30.15,30.20,29.85,4395,1.67,0.88
"Amgen Inc.","AMGN",155.60,155.43,156.13,154.79,2731557,10.53,4.60
"Amicus Therapeutics, Inc.","FOLD",8.32,8.29,8.36,7.91,1566000,-1.52,N/A
"Amkor Technology, Inc.","AMKR",11.42,11.43,11.75,11.18,1014944,0.65,N/A
